Objet,date_fr,Pourcentage de non
"Arrêté fédéral concernant la construction
d'abris antiaériens dans les bâtiments existants
",5 octobre 1952,84.51
"Arrêté fédéral ratifiant la Convention entre
la Suisse et la France réglant les relations de
commerce et de bon voisinage entre les anciennes
zones franches de la Haute-Savoie et du Pays de
Gex et les cantons suisses limitrophes, signée à
Paris le 7 août 1921
",18 février 1923,81.52
"Loi fédérale sur les peines disciplinaires dans
l'armée suisse
",4 octobre 1896,80.12
"Loi fédérale concernant les fonctionnaires et
employés fédéraux devenus incapables de remplir
leurs fonctions
",15 mars 1891,79.94
"Loi fédérale concernant les mesures à prendre
contre les épidémies offrant un danger général
",30 juillet 1882,78.99
"Modification de la loi fédérale sur lassurance-
maladie (LAMal) (Réseaux de soins)
",17 juin 2012,76.05
"Arrêté fédéral sur l'adhésion de la Suisse à
l'Organisation des Nations Unies
",16 mars 1986,75.67
"Loi fédérale complétant celle du 13 juin 1928
sur la lutte contre la tuberculose
",22 mai 1949,75.15
"Modification de la loi fédérale sur la
prévoyance professionnelle vieillesse, survivants
et invalidité (LPP) (Taux de conversion minimal)
",7 mars 2010,72.73
"Loi fédérale sur les indemnités dues aux
membres des conseils législatifs et sur les
contributions aux groupes (Loi sur les indemnités
parlementaires)
",27 septembre 1992,72.42
"Modification de la loi fédérale sur l'assurance-
maladie
",6 décembre 1987,71.28
"Loi fédérale sur l'assurance contre les maladies
et les accidents, et sur l'assurance militaire
",20 mai 1900,69.78999999999999
"Loi fédérale sur l'assurance-invalidité
",13 juin 1999,69.71000000000001
"Loi fédérale sur les contributions destinées
à couvrir les coûts d'infrastructures des
groupes et des députés (Loi sur les coûts
d'infrastructures)
",27 septembre 1992,69.41
"Loi fédérale complétant le code pénal
fédéral du 4 février 1853
",25 octobre 1903,69.17
"Arrêté fédéral concernant l'achat du chemin de
fer Central suisse
",6 décembre 1891,68.88
"Loi fédérale sur la protection de la grossesse
et le caractère punissable de son interruption
",28 mai 1978,68.8
"Arrêté fédéral sur le financement de l'AVS/
AI par le biais d'un relèvement de la taxe sur la
valeur ajoutée
",16 mai 2004,68.58
"Loi fédérale modifiant la loi sur les
indemnités de présence et de déplacement des
membres du Conseil national et des commissions de
l'Assemblée fédérale
",27 mai 1962,68.32
"Arrêté fédéral concernant la proposition de
révision de la constitution fédérale, soulevée
par l'initiative populaire en date du 3 août 1880
",31 octobre 1880,68.23
